CRIM,INDUS,NOX,RM,AGE,DIS,RAD,PTRATIO,B,MEDV
0.1415,6.91,0.448,6.169,6.6,5.7209,3,17.9,383.37,25.3
0.15936,6.91,0.448,6.211,6.5,5.7209,3,17.9,394.46,24.7
0.12269,6.91,0.448,6.069,40,5.7209,3,17.9,389.39,21.2
0.17142,,0.448,5.682,33.8,5.1004,3,17.9,396.9,19.3
0.18836,6.91,0.448,5.786,33.3,5.1004,3,17.9,396.9,20
0.22927,6.91,0.448,6.03,85.5,5.6894,3,17.9,392.74,16.6
0.25387,6.91,0.448,5.399,95.3,5.87,3,17.9,396.9,14.4
0.21977,6.91,0.448,5.602,62,6.0877,3,17.9,396.9,19.4
0.08873,5.64,0.439,5.963,45.7,6.8147,4,16.8,395.56,19.7
0.04337,5.64,0.439,6.115,63,6.8147,4,16.8,393.97,20.5
0.0536,5.64,0.439,6.511,21.1,6.8147,4,16.8,396.9,25
0.04981,5.64,0.439,5.998,21.4,6.8147,4,16.8,396.9,23.4
0.0136,4,0.41,5.888,47.6,7.3197,3,21.1,396.9,18.9
0.01311,1.22,0.403,7.249,21.9,8.6966,5,17.9,395.93,35.4
0.02055,0.74,0.41,6.383,35.7,9.1876,2,17.3,396.9,24.7
0.01432,1.32,0.411,6.816,40.5,8.3248,5,15.1,392.9,31.6
0.15445,5.13,0.453,6.145,29.2,7.8148,8,19.7,390.68,23.3
0.10328,5.13,0.453,5.927,47.2,6.932,8,19.7,396.9,19.6
0.14932,5.13,0.453,5.741,66.2,7.2254,8,19.7,395.11,18.7
0.17171,5.13,0.453,5.966,93.4,6.8185,8,19.7,378.08,16
0.11027,5.13,0.453,6.456,67.8,7.2255,8,19.7,396.9,22.2
0.1265,5.13,0.453,6.762,43.4,7.9809,8,19.7,395.58,25
0.01951,1.38,0.4161,7.104,59.5,9.2229,3,18.6,393.24,33
0.03584,3.37,0.398,6.29,17.8,6.6115,4,16.1,396.9,23.5
0.04379,,0.398,5.787,31.1,6.6115,4,16.1,396.9,19.4
0.05789,6.07,0.409,5.878,21.4,6.498,4,18.9,396.21,22
0.13554,6.07,0.409,5.594,36.8,6.498,4,18.9,396.9,17.4
0.12816,6.07,0.409,5.885,33,6.498,4,18.9,396.9,20.9
0.08826,10.81,0.413,6.417,6.6,5.2873,4,19.2,383.73,24.2
0.15876,10.81,0.413,5.961,17.5,5.2873,4,19.2,376.94,21.7
0.09164,10.81,,6.065,7.8,5.2873,4,19.2,390.91,22.8
0.19539,10.81,0.413,6.245,6.2,5.2873,4,19.2,377.17,23.4
0.07896,12.83,0.437,6.273,6,4.2515,5,18.7,394.92,24.1
0.09512,12.83,0.437,6.286,45,4.5026,5,18.7,383.23,21.4
0.10153,12.83,0.437,6.279,74.5,4.0522,5,18.7,373.66,20
0.08707,12.83,0.437,6.14,45.8,4.0905,5,18.7,386.96,20.8
0.05646,12.83,0.437,6.232,53.7,5.0141,5,18.7,386.4,21.2
0.08387,12.83,0.437,5.874,36.6,4.5026,5,18.7,396.06,20.3
0.04113,4.86,0.426,6.727,33.5,5.4007,4,19,396.9,28
0.04462,4.86,0.426,6.619,70.4,5.4007,4,19,395.63,23.9
0.03659,4.86,0.426,6.302,32.2,5.4007,4,19,396.9,24.8
0.03551,4.86,0.426,6.167,46.7,5.4007,4,19,390.64,22.9
0.05059,4.49,0.449,6.389,48,4.7794,3,18.5,396.9,23.9
0.05735,4.49,0.449,6.63,56.1,4.4377,3,18.5,392.3,26.6
0.05188,,0.449,6.015,45.1,4.4272,3,18.5,395.99,22.5
0.07151,4.49,0.449,6.121,56.8,3.7476,3,18.5,395.15,22.2
0.0566,3.41,0.489,7.007,86.3,3.4217,2,17.8,396.9,23.6
0.05302,3.41,0.489,7.079,63.1,3.4145,2,17.8,396.06,28.7
0.04684,3.41,0.489,6.417,66.1,3.0923,2,17.8,392.18,22.6
0.03932,3.41,0.489,6.405,73.9,3.0921,2,17.8,393.55,22
0.04203,15.04,0.464,6.442,53.6,3.6659,4,18.2,395.01,22.9
0.02875,15.04,0.464,6.211,28.9,3.6659,4,18.2,396.33,25
0.04294,15.04,0.464,6.249,77.3,3.615,4,18.2,396.9,20.6
0.12204,2.89,0.445,6.625,57.8,3.4952,2,18,357.98,28.4
0.11504,2.89,0.445,6.163,69.6,3.4952,2,18,391.83,21.4
0.12083,2.89,0.445,8.069,76,3.4952,2,18,396.9,38.7
0.08187,2.89,0.445,7.82,36.9,3.4952,2,18,393.53,43.8
0.0686,2.89,0.445,7.416,62.5,3.4952,2,18,396.9,33.2
0.14866,8.56,0.52,6.727,79.9,2.7778,5,20.9,394.76,27.5
0.11432,8.56,0.52,6.781,71.3,2.8561,5,20.9,395.58,26.5
0.22876,8.56,0.52,6.405,85.4,2.7147,5,20.9,70.8,18.6
0.21161,8.56,0.52,6.137,87.4,2.7147,5,20.9,394.47,19.3
0.1396,8.56,0.52,6.167,90,2.421,5,20.9,392.69,20.1
0.13262,8.56,0.52,5.851,96.7,2.1069,5,20.9,394.05,19.5
0.1712,8.56,0.52,5.836,91.9,2.211,5,20.9,395.67,19.5
0.13117,8.56,0.52,6.127,85.2,2.1224,5,20.9,387.69,20.4
0.12802,8.56,0.52,6.474,97.1,2.4329,5,20.9,395.24,19.8
0.26363,8.56,0.52,6.229,91.2,2.5451,5,20.9,391.23,19.4
0.10793,8.56,0.52,6.195,54.4,2.7778,5,20.9,393.49,21.7
0.10084,10.01,0.547,6.715,81.6,2.6775,6,17.8,395.59,22.8
0.12329,10.01,0.547,5.913,92.9,2.3534,6,17.8,394.95,18.8
0.22212,10.01,0.547,6.092,95.4,2.548,6,17.8,396.9,18.7
0.14231,10.01,0.547,6.254,84.2,2.2565,6,17.8,388.74,18.5
0.17134,10.01,0.547,5.928,,2.4631,6,17.8,344.91,18.3
0.13158,10.01,0.547,6.176,72.5,2.7301,6,17.8,393.3,21.2
0.15098,10.01,0.547,6.021,82.6,2.7474,6,17.8,394.51,19.2
0.13058,10.01,,5.872,73.1,2.4775,6,17.8,338.63,20.4
0.14476,10.01,0.547,5.731,65.2,2.7592,6,17.8,391.5,19.3
0.06899,25.65,0.581,5.87,69.7,2.2577,2,19.1,389.15,22
0.07165,25.65,0.581,6.004,84.1,2.1974,2,19.1,377.67,20.3
0.09299,25.65,0.581,5.961,92.9,2.0869,2,19.1,378.09,20.5
0.15038,25.65,0.581,5.856,97,1.9444,2,19.1,370.31,17.3
0.09849,25.65,0.581,5.879,95.8,2.0063,2,19.1,379.38,18.8
0.16902,25.65,0.581,5.986,88.4,1.9929,2,19.1,385.02,21.4
0.38735,25.65,0.581,5.613,95.6,1.7572,2,19.1,359.29,15.7
0.25915,21.89,0.624,5.693,96,1.7883,4,21.2,392.11,16.2
0.32543,21.89,0.624,6.431,98.8,1.8125,4,21.2,396.9,18
0.88125,21.89,0.624,5.637,94.7,1.9799,4,21.2,396.9,14.3
0.34006,21.89,0.624,6.458,98.9,2.1185,4,21.2,395.04,19.2
1.19294,21.89,0.624,6.326,97.7,2.271,4,21.2,396.9,19.6
0.59005,21.89,0.624,6.372,97.9,2.3274,4,21.2,385.76,23
0.32982,21.89,0.624,5.822,95.4,2.4699,4,21.2,388.69,18.4
0.97617,21.89,0.624,5.757,98.4,2.346,4,21.2,262.76,15.6
0.55778,21.89,0.624,6.335,98.2,2.1107,4,21.2,394.67,18.1
0.32264,21.89,0.624,5.942,93.5,1.9669,4,21.2,378.25,17.4
0.35233,21.89,0.624,6.454,98.4,1.8498,4,21.2,394.08,17.1
0.2498,21.89,0.624,5.857,98.2,1.6686,4,21.2,392.04,13.3
0.54452,21.89,0.624,6.151,97.9,1.6687,4,21.2,396.9,17.8
0.2909,21.89,0.624,6.174,93.6,1.6119,4,21.2,388.08,14
1.62864,21.89,0.624,5.019,100,1.4394,4,21.2,396.9,14.4
3.32105,19.58,0.871,5.403,100,1.3216,5,14.7,396.9,13.4
4.0974,19.58,0.871,5.468,100,1.4118,5,14.7,396.9,15.6
2.77974,19.58,0.871,4.903,97.8,1.3459,5,14.7,396.9,11.8
2.37934,19.58,0.871,6.13,100,1.4191,5,14.7,172.91,13.8
2.15505,19.58,0.871,5.628,100,1.5166,5,14.7,169.27,15.6
2.36862,19.58,0.871,4.926,95.7,1.4608,5,14.7,391.71,14.6
2.33099,19.58,0.871,5.186,93.8,1.5296,5,14.7,356.99,17.8
2.73397,19.58,0.871,5.597,94.9,1.5257,5,14.7,351.85,15.4
1.6566,19.58,0.871,6.122,97.3,1.618,5,14.7,372.8,21.5
1.49632,19.58,0.871,5.404,100,1.5916,5,14.7,341.6,19.6
1.12658,19.58,0.871,5.012,88,1.6102,5,14.7,343.28,15.3
2.14918,19.58,0.871,5.709,98.5,1.6232,5,14.7,261.95,19.4
1.41385,19.58,0.871,6.129,96,1.7494,5,14.7,321.02,17
3.53501,19.58,0.871,6.152,82.6,1.7455,5,14.7,88.01,15.6
2.44668,19.58,0.871,5.272,94,1.7364,5,14.7,88.63,13.1
1.22358,19.58,0.605,6.943,97.4,1.8773,5,14.7,363.43,41.3
1.34284,19.58,0.605,6.066,100,1.7573,5,14.7,353.89,24.3
1.42502,19.58,0.871,6.51,100,1.7659,5,14.7,364.31,23.3
1.27346,19.58,0.605,6.25,92.6,1.7984,5,14.7,338.92,27
1.46336,19.58,0.605,7.489,90.8,1.9709,5,14.7,374.43,50
1.83377,19.58,0.605,7.802,98.2,2.0407,5,14.7,389.61,50
1.51902,19.58,0.605,8.375,93.9,2.162,5,14.7,388.45,50
2.24236,19.58,0.605,5.854,91.8,2.422,5,14.7,395.11,22.7
2.924,19.58,0.605,6.101,93,2.2834,5,14.7,240.16,25
2.01019,19.58,0.605,7.929,96.2,2.0459,5,14.7,369.3,50
1.80028,19.58,0.605,5.877,79.2,2.4259,5,14.7,227.61,23.8
2.3004,19.58,0.605,6.319,96.1,2.1,5,14.7,297.09,23.8
2.44953,19.58,0.605,6.402,95.2,2.2625,5,14.7,330.04,22.3
1.20742,19.58,0.605,5.875,94.6,2.4259,5,14.7,292.29,17.4
2.3139,19.58,0.605,5.88,97.3,2.3887,5,14.7,348.13,19.1
0.13914,4.05,0.51,5.572,88.5,2.5961,5,16.6,396.9,23.1
0.09178,4.05,0.51,6.416,84.1,2.6463,5,16.6,395.5,23.6
0.08447,4.05,0.51,5.859,68.7,2.7019,5,16.6,393.23,22.6
0.06664,4.05,0.51,6.546,33.1,3.1323,5,16.6,390.96,29.4
0.07022,4.05,0.51,6.02,47.2,3.5549,5,16.6,393.23,23.2
0.05425,4.05,0.51,6.315,73.4,3.3175,5,16.6,395.6,24.6
0.06642,4.05,0.51,6.86,74.4,2.9153,5,16.6,391.27,29.9
0.0578,2.46,0.488,6.98,58.4,2.829,3,17.8,396.9,37.2
0.06588,2.46,0.488,7.765,83.3,2.741,3,17.8,395.56,39.8
0.06888,2.46,0.488,6.144,62.2,2.5979,3,17.8,396.9,36.2
0.09103,2.46,0.488,7.155,92.2,2.7006,3,17.8,394.12,37.9
0.10008,2.46,0.488,6.563,95.6,2.847,3,17.8,396.9,32.5
0.08308,2.46,0.488,5.604,89.8,2.9879,3,17.8,391,26.4
0.06047,2.46,0.488,6.153,68.8,3.2797,3,17.8,387.11,29.6
0.05602,2.46,0.488,7.831,53.6,3.1992,3,17.8,392.63,50
0.07875,3.44,0.437,6.782,41.1,3.7886,5,15.2,393.87,32
0.12579,3.44,0.437,6.556,29.1,4.5667,5,15.2,382.84,29.8
0.0837,3.44,0.437,7.185,38.9,4.5667,5,15.2,396.9,34.9
0.09068,3.44,0.437,6.951,21.5,6.4798,5,15.2,377.68,37
0.06911,3.44,0.437,6.739,30.8,6.4798,5,15.2,389.71,30.5
0.08664,3.44,0.437,7.178,26.3,6.4798,5,15.2,390.49,36.4
0.02187,2.93,0.401,6.8,9.9,6.2196,1,15.6,393.37,31.1
0.01439,2.93,0.401,6.604,18.8,6.2196,1,15.6,376.7,29.1
0.01381,0.46,0.422,7.875,32,5.6484,4,14.4,394.23,50
0.04011,1.52,0.404,7.287,34.1,7.309,2,12.6,396.9,33.3
0.04666,1.52,0.404,7.107,36.6,7.309,2,12.6,354.31,30.3
0.03768,1.52,0.404,7.274,38.3,7.309,2,12.6,392.2,34.6
0.0315,1.47,0.403,6.975,15.3,7.6534,3,17,396.9,34.9
0.01778,1.47,0.403,7.135,13.9,7.6534,3,17,384.3,32.9
0.03445,2.03,0.415,6.162,38.4,6.27,2,14.7,393.77,24.1
0.02177,2.03,0.415,7.61,15.7,6.27,2,14.7,395.38,42.3
0.0351,2.68,0.4161,7.853,33.2,5.118,4,14.7,392.78,48.5
0.02009,2.68,0.4161,8.034,31.9,5.118,4,14.7,390.55,50
0.13642,10.59,0.489,5.891,22.3,3.9454,4,18.6,396.9,22.6
0.22969,10.59,0.489,6.326,52.5,4.3549,4,18.6,394.87,24.4
0.25199,10.59,0.489,5.783,72.7,4.3549,4,18.6,389.43,22.5
0.13587,10.59,0.489,6.064,59.1,4.2392,4,18.6,381.32,24.4
0.43571,10.59,0.489,5.344,100,3.875,4,18.6,396.9,20
0.17446,10.59,0.489,5.96,92.1,3.8771,4,18.6,393.25,21.7
0.37578,10.59,0.489,5.404,88.6,3.665,4,18.6,395.24,19.3
0.21719,10.59,0.489,5.807,53.8,3.6526,4,18.6,390.94,22.4
0.14052,10.59,0.489,6.375,32.3,3.9454,4,18.6,385.81,28.1
0.28955,10.59,0.489,5.412,9.8,3.5875,4,18.6,348.93,23.7
0.19802,10.59,0.489,6.182,42.4,3.9454,4,18.6,393.63,25
0.0456,13.89,0.55,5.888,56,3.1121,5,16.4,392.8,23.3
0.07013,13.89,0.55,6.642,85.1,3.4211,5,16.4,392.78,28.7
0.11069,13.89,0.55,5.951,93.8,2.8893,5,16.4,396.9,21.5
0.11425,13.89,0.55,6.373,92.4,3.3633,5,16.4,393.74,23
0.35809,6.2,0.507,6.951,88.5,2.8617,8,17.4,391.7,26.7
0.40771,6.2,0.507,6.164,91.3,3.048,8,17.4,395.24,21.7
0.62356,6.2,0.507,6.879,77.7,3.2721,8,17.4,390.39,27.5
0.6147,6.2,0.507,6.618,80.8,3.2721,8,17.4,396.9,30.1
0.31533,6.2,0.504,8.266,78.3,2.8944,8,17.4,385.05,44.8
0.52693,6.2,0.504,8.725,83,2.8944,8,17.4,382,50
0.38214,6.2,0.504,8.04,86.5,3.2157,8,17.4,387.38,37.6
0.41238,6.2,0.504,7.163,79.9,3.2157,8,17.4,372.08,31.6
0.29819,6.2,0.504,7.686,17,3.3751,8,17.4,377.51,46.7
0.44178,6.2,0.504,6.552,21.4,3.3751,8,17.4,380.34,31.5
0.537,6.2,0.504,5.981,68.1,3.6715,8,17.4,378.35,24.3
0.46296,6.2,0.504,7.412,76.9,3.6715,8,17.4,376.14,31.7
0.57529,6.2,0.507,8.337,73.3,3.8384,8,17.4,385.91,41.7
0.33147,6.2,0.507,8.247,70.4,3.6519,8,17.4,378.95,48.3
0.44791,6.2,0.507,6.726,66.5,3.6519,8,17.4,360.2,29
0.33045,6.2,0.507,6.086,61.5,3.6519,8,17.4,376.75,24
0.52058,6.2,0.507,6.631,76.5,4.148,8,17.4,388.45,25.1
0.51183,6.2,0.507,7.358,71.6,4.148,8,17.4,390.07,31.5
0.08244,4.93,0.428,6.481,18.5,6.1899,6,16.6,379.41,23.7
0.09252,4.93,0.428,6.606,42.2,6.1899,6,16.6,383.78,23.3
0.11329,4.93,0.428,6.897,54.3,6.3361,6,16.6,391.25,22
0.10612,4.93,0.428,6.095,65.1,6.3361,6,16.6,394.62,20.1
0.1029,4.93,0.428,6.358,52.9,7.0355,6,16.6,372.75,22.2
0.12757,4.93,0.428,6.393,7.8,7.0355,6,16.6,374.71,23.7
0.20608,5.86,0.431,5.593,76.5,7.9549,7,19.1,372.49,17.6
0.19133,5.86,0.431,5.605,70.2,7.9549,7,19.1,389.13,18.5
0.33983,5.86,0.431,6.108,34.9,8.0555,7,19.1,390.18,24.3
0.19657,5.86,0.431,6.226,79.2,8.0555,7,19.1,376.14,20.5
0.16439,5.86,0.431,6.433,49.1,7.8265,7,19.1,374.71,24.5
0.19073,5.86,0.431,6.718,17.5,7.8265,7,19.1,393.74,26.2
0.1403,5.86,0.431,6.487,13,7.3967,7,19.1,396.28,24.4
0.21409,5.86,0.431,6.438,8.9,7.3967,7,19.1,377.07,24.8
0.08221,5.86,0.431,6.957,6.8,8.9067,7,19.1,386.09,29.6
0.36894,5.86,0.431,8.259,8.4,8.9067,7,19.1,396.9,42.8
0.04819,3.64,0.392,6.108,32,9.2203,1,16.4,392.89,21.9
0.03548,3.64,0.392,5.876,19.1,9.2203,1,16.4,395.18,20.9
0.01538,3.75,0.394,7.454,34.2,6.3361,3,15.9,386.34,44
0.61154,3.97,0.647,8.704,86.9,1.801,5,13,389.7,50
0.66351,3.97,0.647,7.333,100,1.8946,5,13,383.29,36
0.65665,3.97,0.647,6.842,100,2.0107,5,13,391.93,30.1
0.54011,3.97,0.647,7.203,81.8,2.1121,5,13,392.8,33.8
0.53412,3.97,0.647,7.52,89.4,2.1398,5,13,388.37,43.1
0.52014,3.97,0.647,8.398,91.5,2.2885,5,13,386.86,48.8
0.82526,3.97,0.647,7.327,94.5,2.0788,5,13,393.42,31
0.55007,3.97,0.647,7.206,91.6,1.9301,5,13,387.89,36.5
0.76162,3.97,0.647,5.56,62.8,1.9865,5,13,392.4,22.8
0.7857,3.97,0.647,7.014,84.6,2.1329,5,13,384.07,30.7
0.57834,3.97,0.575,8.297,67,2.4216,5,13,384.54,50
0.5405,3.97,0.575,7.47,52.6,2.872,5,13,390.3,43.5
0.09065,6.96,0.464,5.92,61.5,3.9175,3,18.6,391.34,20.7
0.29916,6.96,0.464,5.856,42.1,4.429,3,18.6,388.65,21.1
0.16211,6.96,0.464,6.24,16.3,4.429,3,18.6,396.9,25.2
0.1146,6.96,0.464,6.538,58.7,3.9175,3,18.6,394.96,24.4
0.22188,6.96,0.464,7.691,51.8,4.3665,3,18.6,390.77,35.2
0.05644,6.41,0.447,6.758,32.9,4.0776,4,17.6,396.9,32.4
0.09604,6.41,0.447,6.854,42.8,4.2673,4,17.6,396.9,32
0.10469,6.41,0.447,7.267,49,4.7872,4,17.6,389.25,33.2
0.06127,6.41,0.447,6.826,27.6,4.8628,4,17.6,393.45,33.1
0.07978,6.41,0.447,6.482,32.1,4.1403,4,17.6,396.9,29.1
0.21038,3.33,0.4429,6.812,32.2,4.1007,5,14.9,396.9,35.1
0.03578,3.33,0.4429,7.82,64.5,4.6947,5,14.9,387.31,45.4
0.03705,3.33,0.4429,6.968,37.2,5.2447,5,14.9,392.23,35.4
0.06129,3.33,0.4429,7.645,49.7,5.2119,5,14.9,377.07,46
0.01501,1.21,0.401,7.923,24.8,5.885,1,13.6,395.52,50
0.00906,2.97,0.4,7.088,20.8,7.3073,1,15.3,394.72,32.2
0.01096,2.25,0.389,6.453,31.9,7.3073,1,15.3,394.72,22
0.01965,1.76,0.385,6.23,31.5,9.0892,1,18.2,341.6,20.1
0.03871,5.32,0.405,6.209,31.3,7.3172,6,16.6,396.9,23.2
0.0459,5.32,0.405,6.315,45.6,7.3172,6,16.6,396.9,22.3
0.04297,5.32,0.405,6.565,22.9,7.3172,6,16.6,371.72,24.8
0.03502,4.95,0.411,6.861,27.9,5.1167,4,19.2,396.9,28.5
0.07886,4.95,0.411,7.148,27.7,5.1167,4,19.2,396.9,37.3
0.03615,4.95,0.411,6.63,23.4,5.1167,4,19.2,396.9,27.9
0.08265,13.92,0.437,6.127,18.4,5.5027,4,16,396.9,23.9
0.08199,13.92,0.437,6.009,42.3,5.5027,4,16,396.9,21.7
0.12932,13.92,0.437,6.678,31.1,5.9604,4,16,396.9,28.6
0.05372,13.92,0.437,6.549,51,5.9604,4,16,392.85,27.1
0.14103,13.92,0.437,5.79,58,6.32,4,16,396.9,20.3
0.06466,2.24,0.4,6.345,20.1,7.8278,5,14.8,368.24,22.5
0.05561,2.24,0.4,7.041,10,7.8278,5,14.8,371.58,29
0.04417,2.24,0.4,6.871,47.4,7.8278,5,14.8,390.86,24.8
0.03537,6.09,0.433,6.59,40.4,5.4917,7,16.1,395.75,22
0.09266,6.09,0.433,6.495,18.4,5.4917,7,16.1,383.61,26.4
0.1,6.09,0.433,6.982,17.7,5.4917,7,16.1,390.43,33.1
0.05515,2.18,0.472,7.236,41.1,4.022,7,18.4,393.68,36.1
0.05479,2.18,0.472,6.616,58.1,3.37,7,18.4,393.36,28.4
0.07503,2.18,0.472,7.42,71.9,3.0992,7,18.4,396.9,33.4
0.04932,2.18,0.472,6.849,70.3,3.1827,7,18.4,396.9,28.2
0.49298,9.9,0.544,6.635,82.5,3.3175,4,18.4,396.9,22.8
0.3494,9.9,0.544,5.972,76.7,3.1025,4,18.4,396.24,20.3
2.63548,9.9,0.544,4.973,37.8,2.5194,4,18.4,350.45,16.1
0.79041,9.9,0.544,6.122,52.8,2.6403,4,18.4,396.9,22.1
0.26169,9.9,0.544,6.023,90.4,2.834,4,18.4,396.3,19.4
0.26938,9.9,0.544,6.266,82.8,3.2628,4,18.4,393.39,21.6
0.3692,9.9,0.544,6.567,87.3,3.6023,4,18.4,395.69,23.8
0.25356,9.9,0.544,5.705,77.7,3.945,4,18.4,396.42,16.2
0.31827,9.9,0.544,5.914,83.2,3.9986,4,18.4,390.7,17.8
0.24522,9.9,0.544,5.782,71.7,4.0317,4,18.4,396.9,19.8
0.40202,9.9,0.544,6.382,67.2,3.5325,4,18.4,395.21,23.1
0.47547,9.9,0.544,6.113,58.8,4.0019,4,18.4,396.23,21
0.1676,7.38,0.493,6.426,52.3,4.5404,5,19.6,396.9,23.8
0.18159,7.38,0.493,6.376,54.3,4.5404,5,19.6,396.9,23.1
0.35114,7.38,0.493,6.041,49.9,4.7211,5,19.6,396.9,20.4
0.28392,7.38,0.493,5.708,74.3,4.7211,5,19.6,391.13,18.5
0.34109,7.38,0.493,6.415,40.1,4.7211,5,19.6,396.9,25
0.19186,7.38,0.493,6.431,14.7,5.4159,5,19.6,393.68,24.6
0.30347,7.38,0.493,6.312,28.9,5.4159,5,19.6,396.9,23
0.24103,7.38,0.493,6.083,43.7,5.4159,5,19.6,396.9,22.2
0.06617,3.24,0.46,5.868,25.8,5.2146,4,16.9,382.44,19.3
0.06724,3.24,0.46,6.333,17.2,5.2146,4,16.9,375.21,22.6
0.04544,3.24,0.46,6.144,32.2,5.8736,4,16.9,368.57,19.8
0.05023,6.06,0.4379,5.706,28.4,6.6407,1,16.9,394.02,17.1
0.03466,6.06,0.4379,6.031,23.3,6.6407,1,16.9,362.25,19.4
0.05083,5.19,0.515,6.316,38.1,6.4584,5,20.2,389.71,22.2
0.03738,5.19,0.515,6.31,38.5,6.4584,5,20.2,389.4,20.7
0.03961,5.19,0.515,6.037,34.5,5.9853,5,20.2,396.9,21.1
0.03427,5.19,0.515,5.869,46.3,5.2311,5,20.2,396.9,19.5
0.03041,5.19,0.515,5.895,59.6,5.615,5,20.2,394.81,18.5
0.03306,5.19,0.515,6.059,37.3,4.8122,5,20.2,396.14,20.6
0.05497,5.19,0.515,5.985,45.4,4.8122,5,20.2,396.9,19
0.06151,5.19,0.515,5.968,58.5,4.8122,5,20.2,396.9,18.7
0.01301,1.52,0.442,7.241,49.3,7.0379,1,15.5,394.74,32.7
0.02498,1.89,0.518,6.54,59.7,6.2669,1,15.9,389.96,16.5
0.02543,3.78,0.484,6.696,56.4,5.7321,5,17.6,396.9,23.9
0.03049,3.78,0.484,6.874,28.1,6.4654,5,17.6,387.97,31.2
0.03113,4.39,0.442,6.014,48.5,8.0136,3,18.8,385.64,17.5
0.06162,4.39,0.442,5.898,52.3,8.0136,3,18.8,364.61,17.2
0.0187,4.15,0.429,6.516,27.7,8.5353,4,17.9,392.43,23.1
0.01501,2.01,0.435,6.635,29.7,8.344,4,17,390.94,24.5
0.02899,1.25,0.429,6.939,34.5,8.7921,1,19.7,389.85,26.6
0.06211,1.25,0.429,6.49,44.4,8.7921,1,19.7,396.9,22.9
0.0795,1.69,0.411,6.579,35.9,10.7103,4,18.3,370.78,24.1
0.07244,1.69,0.411,5.884,18.5,10.7103,4,18.3,392.33,18.6
0.01709,2.02,0.41,6.728,36.1,12.1265,5,17,384.46,30.1
0.04301,1.91,0.413,5.663,21.9,10.5857,4,22,382.8,18.2
0.10659,1.91,0.413,5.936,19.5,10.5857,4,22,376.04,20.6
8.98296,18.1,0.77,6.212,97.4,2.1222,24,20.2,377.73,17.8
